timestep,ep_rew_mean,ep_rew_std,ep_len_mean,checkpoints_reached,lava_fraction,timeout_fraction,explained_variance,entropy_loss
51200,-246.38866014285713,266.4931426746113,251.85714285714286,1.88720703125,0.0,0.0,0.39931321144104004,-1.6670238591730595
53248,-271.7223577142857,534.1181451785375,323.14285714285717,2.40478515625,0.0,0.0,0.30540311336517334,-1.6920680776238441
55296,-507.61178111111116,522.1759477911686,218.55555555555554,1.11669921875,0.0,0.0,0.3083118200302124,-1.6945558123290538
57344,-280.7184836666667,245.03182258371646,238.0,1.49755859375,0.0,0.0,0.2520103454589844,-1.63541850335896
59392,-278.8976773333333,442.87080011168916,219.11111111111111,1.50732421875,0.0,0.0,0.3233884572982788,-1.6470589958131314
61440,-241.25622437500002,583.0075201374592,260.75,1.79052734375,0.0,0.0,0.2241920828819275,-1.6607180312275887
63488,-449.2160633333333,501.2730592761434,307.1666666666667,2.10791015625,0.0,0.0,0.38197576999664307,-1.6469088710844517
65536,-180.59883922222224,397.13887946130063,244.66666666666666,1.66455078125,0.0,0.0,0.2560077905654907,-1.6313616845756769
67584,23.751815000000022,425.155622722026,270.375,1.97900390625,0.0,0.0,0.23238402605056763,-1.5970556922256947
69632,-377.7261407142857,464.1636665932475,237.71428571428572,1.3447265625,0.0,0.0,0.46134114265441895,-1.6099302101880313
71680,-596.8875697142856,363.56981675552703,325.14285714285717,2.04296875,0.0,0.0,0.18813621997833252,-1.6166706819087266
73728,-609.0732155,338.1833002842607,269.8333333333333,2.4169921875,0.0,0.0,0.33290618658065796,-1.6657135602086783
75776,-349.4793322222222,399.907773728827,288.8888888888889,1.5703125,0.0,0.0,0.514079749584198,-1.667036683484912
77824,-492.663481,423.18958993683304,275.0,2.23974609375,0.0,0.0,0.5052133500576019,-1.5769453946501018
79872,-22.095953249999994,252.09177425154903,274.25,2.03271484375,0.0,0.0,0.4012741446495056,-1.6243984635919333
81920,-293.655860125,242.25528876906472,254.25,1.75732421875,0.0,0.0,0.3321886658668518,-1.5871010687202216
83968,-303.7207660000001,348.44278289889513,223.22222222222223,1.33642578125,0.0,0.0,0.4078678488731384,-1.572949419543147
86016,-38.53266655555556,147.3545744171571,238.66666666666666,1.6640625,0.0,0.0,0.4634789824485779,-1.565148287639022
88064,-164.71591866666665,295.06361391659925,225.44444444444446,1.54443359375,0.0,0.0,0.5065536201000214,-1.4912166096270085
90112,91.838611125,366.72231916376364,241.125,1.46728515625,0.0,0.0,0.5352381765842438,-1.4529151976108552
92160,1.183148833333341,372.7393114551433,302.5,2.21484375,0.0,0.0,nan,nan
94208,-265.19627025,297.5445912617969,282.0,2.08203125,0.0,0.0,0.6164370775222778,-1.4959689773619176
96256,-33.45410822222222,149.53128102596423,225.44444444444446,1.4267578125,0.0,0.0,0.49505364894866943,-1.5336094085127114
98304,78.07693799999998,118.90922252221822,290.3333333333333,1.73681640625,0.0,0.0,0.5563944876194,-1.4631949551403522
100352,-71.11665999999997,395.7917854350721,264.55555555555554,1.634765625,0.0,0.0,0.5254294574260712,-1.4638397216796875
102400,-52.246723333333335,342.3861377677822,266.1666666666667,2.34912109375,0.0,0.0,0.6738811433315277,-1.5048359122127295
104448,45.59445514285715,379.32211500312434,350.7142857142857,2.541015625,0.0,0.0,0.7054936587810516,-1.5183267589658498
106496,20.624885571428553,469.2082262974694,282.85714285714283,2.19921875,0.0,0.0,0.6313881576061249,-1.4768768023699521
108544,-222.021021125,330.09692214456464,249.25,1.556640625,0.0,0.0,0.6401422321796417,-1.4543844107538462
110592,-106.64215337499999,302.3818949013362,268.375,2.18701171875,0.0,0.0,0.6435741484165192,-1.515991000086069
112640,-377.596693125,292.11276873271095,228.875,1.5400390625,0.0,0.0,0.5487191081047058,-1.509726244211197
114688,118.74075900000003,329.8264943225411,339.8333333333333,1.8125,0.0,0.0,0.6747416853904724,-1.5203134328126908
116736,55.10344400000002,184.73371714436695,302.2857142857143,2.20849609375,0.0,0.0,0.6329973638057709,-1.4659494791179895
118784,16.588322999999992,299.3800164047854,315.0,1.99951171875,0.0,0.0,0.5691664814949036,-1.5828297663480044
120832,106.6555015,342.48606870159233,244.0,1.41845703125,0.0,0.0,0.7218475341796875,-1.5285762146115303
122880,162.70235983333336,514.9970682479751,322.8333333333333,2.5205078125,0.0,0.0,0.7427252233028412,-1.4180507510900497
124928,-28.303477142857144,409.2282270050099,323.0,2.5380859375,0.0,0.0,0.6652372777462006,-1.4778861545026303
126976,-149.7322428,527.7050085537816,416.4,2.82861328125,0.0,0.0,0.6226235032081604,-1.5739288430660963
129024,162.33629285714284,344.38071721301696,289.14285714285717,2.14599609375,0.0,0.0,0.5846375226974487,-1.507585873454809
131498,-179.48364342857147,261.4008202137891,251.71428571428572,2.11767578125,0.0,0.0,nan,nan
133546,-218.976095875,230.2298076008259,286.5,2.08056640625,0.0,0.0,0.683868795633316,-1.5614104554057122
135594,-32.27207350000001,534.1505686634407,339.1666666666667,2.626953125,0.0,0.0,0.7041596174240112,-1.5361200422048569
137642,78.3084952857143,391.54668737065884,254.0,1.8125,0.0,0.0,0.6495543718338013,-1.5989644687622786
139690,-52.997254375000004,150.28040962158357,290.0,2.25439453125,0.0,0.0,0.622204065322876,-1.5017653957009316
141738,-24.248155555555545,388.4219437566271,221.0,1.1953125,0.0,0.0,0.5883520245552063,-1.5597925912588835
143786,-175.60055062500004,273.49260896267117,267.125,2.1005859375,0.0,0.0,0.7060165107250214,-1.4844755690544844
145834,273.78594833333335,346.19878572822364,310.0,2.80224609375,0.0,0.0,0.6754626631736755,-1.549178770557046
147882,-11.683825666666676,174.75818933833403,334.6666666666667,2.4541015625,0.0,0.0,0.5636439025402069,-1.540803636610508
149930,179.27035633333332,279.24181868609674,353.1666666666667,2.224609375,0.0,0.0,0.7139165103435516,-1.493061961606145
151978,-9.380997900000008,283.3274117311334,212.2,1.51171875,0.0,0.0,0.7469587326049805,-1.482783617451787
154026,136.058501,403.06130886309063,297.0,2.27099609375,0.0,0.0,0.6271087229251862,-1.4403362970799207
156074,-251.07645285714287,386.32426529166867,292.0,2.07763671875,0.0,0.0,0.5604107677936554,-1.6051476884633302
158122,-67.97480614285715,371.57684628473413,280.57142857142856,2.21923828125,0.0,0.0,0.6556119918823242,-1.5093494199216366
160170,38.74513828571428,210.7260431546707,264.85714285714283,1.875,0.0,0.0,0.6834503412246704,-1.4918068442493677
162218,-253.570095,234.29547978257722,364.5,2.3662109375,0.0,0.0,0.7585933953523636,-1.4900679536163808
164266,238.71316722222224,387.1977282846939,243.44444444444446,1.68408203125,0.0,0.0,0.6752554178237915,-1.4934613261371852
166314,53.00954233333334,333.0371856627945,218.22222222222223,1.27978515625,0.0,0.0,0.6098324954509735,-1.4605018448084592
168362,-93.29849044444444,271.8902003226885,238.55555555555554,1.71630859375,0.0,0.0,0.7307249903678894,-1.5211534701287746
170410,108.38358811111111,247.8826299476213,206.44444444444446,1.2744140625,0.0,0.0,0.6311870217323303,-1.4762890204787253
172458,-157.01870687499996,303.393709423269,263.75,2.39892578125,0.0,0.0,0.6556363999843597,-1.5077203758060933
174506,82.68489333333333,321.2243092772872,247.11111111111111,1.51708984375,0.0,0.0,0.6373746395111084,-1.5289722513407469
176554,-142.19070966666666,317.55042627325525,217.66666666666666,1.54833984375,0.0,0.0,0.6726495921611786,-1.458074254542589
178602,-53.94826366666667,463.10761287528607,317.5,2.6572265625,0.0,0.0,0.6374775171279907,-1.5228849787265062
180650,-29.130219374999996,387.3649834090408,259.25,2.0859375,0.0,0.0,0.5564301609992981,-1.4987884253263473
182698,131.539608,327.65994460324123,252.25,1.912109375,0.0,0.0,0.6355372667312622,-1.5254113424569369
184746,-70.58674875,323.5203676133123,267.0,1.99365234375,0.0,0.0,0.6508542001247406,-1.4817741114646197
186794,46.2387325,395.206010399946,265.125,2.08154296875,0.0,0.0,0.724833756685257,-1.522066218033433
188842,214.50293828571427,496.340441005612,276.85714285714283,1.978515625,0.0,0.0,0.6726416349411011,-1.4935689605772495
190890,157.697495,386.94687350321493,266.5,2.15185546875,0.0,0.0,0.736246794462204,-1.4410135332494973
192938,32.97619074999999,434.8116599768376,242.75,1.73291015625,0.0,0.0,0.6349201798439026,-1.4875883843749762
194986,-171.37233800000004,190.69405529574607,288.2857142857143,1.82763671875,0.0,0.0,0.6346997022628784,-1.469180454686284
197034,143.31558920000003,626.5882352096096,425.4,2.82666015625,0.0,0.0,0.5856470465660095,-1.4952875513583421
199082,-55.254467375000004,322.9581769535117,271.625,2.2109375,0.0,0.0,0.6386204361915588,-1.5931783363223075
201130,23.50118016666666,479.44188396088606,279.8333333333333,2.2900390625,0.0,0.0,0.7150149941444397,-1.5266398411244153
203178,80.18746737500001,333.00374507556353,290.75,2.44921875,0.0,0.0,0.6900994181632996,-1.5249371368438005
205226,58.845373285714295,333.5651339933736,294.85714285714283,2.068359375,0.0,0.0,0.6846659779548645,-1.509581044688821
207274,-20.931850833333332,127.32861142459646,292.6666666666667,2.51025390625,0.0,0.0,0.6464897990226746,-1.4559670548886061
209322,-42.753961374999996,294.6830492758292,292.625,2.05517578125,0.0,0.0,0.7207497358322144,-1.502363983169198
211370,139.80269400000003,460.8273826792593,356.8333333333333,2.6806640625,0.0,0.0,0.7728303968906403,-1.4994060285389423
213418,-42.70750499999998,258.26694936022926,278.85714285714283,1.849609375,0.0,0.0,0.7515533566474915,-1.4893052525818349
215466,91.53516671428572,274.1942019510223,243.28571428571428,2.1162109375,0.0,0.0,0.7353722751140594,-1.4008525032550097
217514,33.043179428571435,407.1376728102095,302.14285714285717,1.76513671875,0.0,0.0,0.7209135591983795,-1.4338213175535202
219562,88.33391657142856,500.0891585741284,340.0,2.2109375,0.0,0.0,0.6018022298812866,-1.4909801978617907
221610,30.173422875,175.57190351304178,255.375,1.314453125,0.0,0.0,0.5949463844299316,-1.5106564737856387
223658,118.88657966666669,371.04513506558413,349.5,2.68603515625,0.0,0.0,0.7490105926990509,-1.3751542076468468
225706,132.15191325,296.78694231123615,250.25,1.59033203125,0.0,0.0,0.5114582479000092,-1.525902021676302
